      103	2026-09-14 06:53:54	1	0	1	0
      106	2026-09-14 06:57:22	1	0	1	0
      102	2026-09-14 08:13:10	1	0	1	0
      104	2026-09-14 08:15:20	1	0	1	0
      105	2026-09-14 08:21:12	1	0	1	0
      101	2026-09-14 08:23:58	1	0	1	0
      106	2026-09-14 15:39:05	1	1	1	0
      103	2026-09-14 15:47:25	1	1	1	0
      101	2026-09-14 17:31:33	1	1	1	0
      105	2026-09-14 17:34:03	1	1	1	0
      102	2026-09-14 17:34:45	1	1	1	0
      104	2026-09-14 17:43:55	1	1	1	0
      103	2026-09-15 06:44:33	1	0	1	0
      101	2026-09-15 08:24:37	1	0	1	0
      104	2026-09-15 08:26:27	1	0	1	0
      103	2026-09-15 15:50:24	1	1	1	0
      101	2026-09-15 17:39:04	1	1	1	0
      104	2026-09-15 17:47:22	1	1	1	0
      106	2026-09-16 06:45:12	1	0	1	0
      103	2026-09-16 06:51:32	1	0	1	0
      105	2026-09-16 08:17:50	1	0	1	0
      102	2026-09-16 08:19:04	1	0	1	0
      101	2026-09-16 08:19:48	1	0	1	0
      106	2026-09-16 15:46:15	1	1	1	0
      103	2026-09-16 15:47:59	1	1	1	0
      102	2026-09-16 17:43:35	1	1	1	0
      101	2026-09-16 17:45:11	1	1	1	0
      105	2026-09-16 17:46:33	1	1	1	0
      103	2026-09-17 07:22:35	1	0	1	0
      106	2026-09-17 07:23:35	1	0	1	0
      104	2026-09-17 08:18:45	1	0	1	0
      101	2026-09-17 08:18:47	1	0	1	0
      105	2026-09-17 08:20:09	1	0	1	0
      102	2026-09-17 08:26:03	1	0	1	0
      250	2026-09-17 09:02:11	1	0	1	0
      250	2026-09-17 11:40:53	1	1	1	0
      103	2026-09-17 15:45:18	1	1	1	0
      106	2026-09-17 15:49:30	1	1	1	0
      102	2026-09-17 17:31:14	1	1	1	0
      101	2026-09-17 17:32:02	1	1	1	0
      105	2026-09-17 17:38:28	1	1	1	0
      104	2026-09-17 17:51:52	1	1	1	0
      106	2026-09-18 06:47:18	1	0	1	0
      103	2026-09-18 06:51:54	1	0	1	0
      101	2026-09-18 08:13:06	1	0	1	0
      104	2026-09-18 08:17:12	1	0	1	0
      102	2026-09-18 08:25:26	1	0	1	0
      105	2026-09-18 08:29:12	1	0	1	0
      106	2026-09-18 15:34:37	1	1	1	0
      103	2026-09-18 15:36:01	1	1	1	0
      105	2026-09-18 17:37:11	1	1	1	0
      104	2026-09-18 17:43:43	1	1	1	0
      102	2026-09-18 17:46:45	1	1	1	0
      101	2026-09-18 17:49:45	1	1	1	0
